dnase1	dnase2	dnase3	atac1	atac2	atac3
number_mapped_reads_after_filt	31393023	25627760	22072798	31395322	25828806	21773526
average_fragm_width	501.677	510.434	510.836	518.83	488.137	474.844
total_called_peaks	141121	118022	105380	64283	76269	60201
average_peaks_per_chrom	6135.7	5364.64	4790	2794.91	3316.04	2617.43
peaks_norm_mapped_reads	195.448	209.329	217.009	89.0232	128.385	120.212
peaks_norm_mapped_reads_per_chrom	4444.75	4782.85	4850.37	4358.06	6187.9	5978.1
reads_in_peaks_norm_mapped_reads	13205.3	13465.7	11390.8	3381.68	3908.3	3603.32
signal_to_noise	4.88798	5.53484	4.67589	3.37623	3.50766	3.82653
average_peak_width	243.636	247.743	247.987	251.339	235.669	229.244
overlap_between_replicates	62.67	60.91	65.7	66.51	65.83	64.73
