region	peaks_in_annotation	overlap_with_DNase	overlap_with_ATAC	overlap_with_DNase_normalized_by_annotation_size	overlap_with_ATAC_normalized_by_annotation_size
Txn_Elongation	24867	11	8	0.044235332	0.0321711505
Weak_Txn	100582	150	65	0.1491320515	0.064623889
Repressed	38902	120	29	0.308467431	0.0745462958
Active_Promoter	15625	11301	8143	72.3264	52.1152
Weak_Promoter	30008	9736	4919	32.4446814183	16.3922953879
Poised_Promoter	6266	1739	399	27.7529524417	6.3676986914
Strong_Enhancer	30122	11999	6710	39.8346723325	22.2760772857
Strong_Enhancer	38974	4115	2172	10.5583209319	5.5729460666
Weak_Enhancer	58856	9804	4631	16.657605002	7.8683566671
Weak_Enhancer	121889	2592	1049	2.126524953	0.8606190879
Insulator	41147	7300	2336	17.7412691083	5.6772061147
Txn_Transition	21174	689	224	3.2539907434	1.0579011996
No_annotation	NA	5380	12712	NA	NA
