sample	mapped_reads	raw_S2N	norm_S2N
fresh1	11785502	2.83394	2.4045984634
fresh2	12841034	2.74584	2.1383324738
fresh3	10954818	3.00484	2.7429392255
frozen_1	15377840	3.34014	2.1720475697
frozen_2	15690118	3.44088	2.1930236599
frozen_3	16869520	2.98209	1.7677385012
fixed_day1_inact_only_1	31617256	5.99884	1.8973310018
fixed_day1_inact_only_2	34854106	4.41135	1.2656614977
fixed_day1_inact_only_3	32853866	3.27552	0.9969968222
fixed_day1_inact_decrosslink_1	27584294	6.44792	2.3375330904
fixed_day1_inact_decrosslink_2	20706190	5.54658	2.6787062226
fixed_day1_inact_decrosslink_3	31097880	3.65917	1.1766622033
fixed_day3_inact_decrosslink_1	46435586	1.5713	0.3383827223
fixed_day3_inact_decrosslink_2	33777790	1.51569	0.4487238508
fixed_day3_inact_decrosslink_3	30188444	1.40238	0.4645419949
fixed_day7_inact_decrosslink_1	51442000	0.568881	0.1105868745
fixed_day7_inact_decrosslink_2	60874226	0.348359	0.0572260253
fixed_day7_inact_decrosslink_3	36189926	0.798951	0.2207661325
