parameters	all_bases	all_TSS	called_TSS	called_nonTSS
l_0100.t_02	91875145	52708829	17644427	74230718
l_0100.t_04	49626549	52708829	17393653	32232896
l_0100.t_06	33608862	52708829	15658978	17949884
l_0100.t_08	25729141	52708829	13782242	11946899
l_0100.t_10	20424040	52708829	11900576	8523464
l_0100.t_12	17061412	52708829	10439634	6621778
l_0100.t_14	14309777	52708829	9100942	5208835
l_0100.t_16	12545515	52708829	8192675	4352840
l_0200.t_02	113548222	52708829	14958563	98589659
l_0200.t_04	63663416	52708829	16784284	46879132
l_0200.t_06	43993161	52708829	16558929	27434232
l_0200.t_08	34408700	52708829	15587366	18821334
l_0200.t_10	28421507	52708829	14359266	14062241
l_0200.t_12	24435266	52708829	13173085	11262181
l_0200.t_14	21478470	52708829	12169562	9308908
l_0200.t_16	19110049	52708829	11254103	7855946
l_0400.t_02	172987125	52708829	9111289	163875836
l_0400.t_04	102200757	52708829	12140291	90060466
l_0400.t_06	70521227	52708829	14019339	56501888
l_0400.t_08	53834112	52708829	14967042	38867070
l_0400.t_10	44281422	52708829	15176141	29105281
l_0400.t_12	38113660	52708829	14881478	23232182
l_0400.t_14	33468912	52708829	14429086	19039826
l_0400.t_16	29357437	52708829	13755585	15601852
l_0600.t_02	232548384	52708829	5491393	227056991
l_0600.t_04	150168268	52708829	7925061	142243207
l_0600.t_06	104677090	52708829	10046522	94630568
l_0600.t_08	78552525	52708829	11718021	66834504
l_0600.t_10	61662395	52708829	12904134	48758261
l_0600.t_12	53810957	52708829	13470921	40340036
l_0600.t_14	46412125	52708829	13869243	32542882
l_0600.t_16	41095480	52708829	13955627	27139853
l_0800.t_02	262641768	52708829	3424003	259217765
l_0800.t_04	176329560	52708829	5394219	170935341
l_0800.t_06	126779894	52708829	7150786	119629108
l_0800.t_08	97613004	52708829	8704318	88908686
l_0800.t_10	77349798	52708829	10163790	67186008
l_0800.t_12	64502071	52708829	11165283	53336788
l_0800.t_14	55935519	52708829	11816554	44118965
l_0800.t_16	49473812	52708829	12385106	37088706
l_1000.t_02	288692951	52708829	2074954	286617997
l_1000.t_04	203828251	52708829	3492769	200335482
l_1000.t_06	149788335	52708829	5034797	144753538
l_1000.t_08	115557508	52708829	6426696	109130812
l_1000.t_10	91395570	52708829	7848577	83546993
l_1000.t_12	76808653	52708829	8984506	67824147
l_1000.t_14	65915904	52708829	9785198	56130706
l_1000.t_16	57838000	52708829	10452884	47385116
l_2000.t_02	342539988	52708829	352101	342187887
l_2000.t_04	264709983	52708829	690322	264019661
l_2000.t_06	209289937	52708829	1130279	208159658
l_2000.t_08	170061855	52708829	1594017	168467838
l_2000.t_10	139370810	52708829	2148369	137222441
l_2000.t_12	119501324	52708829	2625439	116875885
l_2000.t_14	102389403	52708829	3301742	99087661
l_2000.t_16	88725648	52708829	3907481	84818167
