parameters	all_bases	all_TSS	called_TSS	called_nonTSS
l_0010.t_0.001	14938400	52708829	9530466	5407934
l_0010.t_0.01	18044084	52708829	10976758	7067326
l_0010.t_0.1	23055688	52708829	12836317	10219371
l_0010.t_0.99	65716841	52708829	17446147	48270694
l_0100.t_0.001	48908900	52708829	15190428	33718472
l_0100.t_0.01	57237933	52708829	15066720	42171213
l_0100.t_0.1	77552050	52708829	14310389	63241661
l_0100.t_0.99	142206793	52708829	11218463	130988330
l_0200.t_0.001	74849471	52708829	10467564	64381907
l_0200.t_0.01	88871015	52708829	9564451	79306564
l_0200.t_0.1	118205021	52708829	8045712	110159309
l_0200.t_0.99	190658127	52708829	5679900	184978227
l_0400.t_0.001	112389188	52708829	4218089	108171099
l_0400.t_0.01	131118513	52708829	3609658	127508855
l_0400.t_0.1	163912246	52708829	2862298	161049948
l_0400.t_0.99	237815114	52708829	1774640	236040474
l_0600.t_0.001	142564652	52708829	1717124	140847528
l_0600.t_0.01	161530316	52708829	1436812	160093504
l_0600.t_0.1	196274584	52708829	1103617	195170967
l_0600.t_0.99	264383152	52708829	663643	263719509
l_0800.t_0.001	164013829	52708829	829381	163184448
l_0800.t_0.01	185445132	52708829	652946	184792186
l_0800.t_0.1	215457415	52708829	479202	214978213
l_0800.t_0.99	288229339	52708829	275457	287953882
l_1000.t_0.001	181454630	52708829	356414	181098216
l_1000.t_0.01	203854386	52708829	274163	203580223
l_1000.t_0.1	234628071	52708829	198466	234429605
l_1000.t_0.99	297274568	52708829	111149	297163419
l_2000.t_0.001	239508275	52708829	32108	239476167
l_2000.t_0.01	260873465	52708829	24610	260848855
l_2000.t_0.1	291156087	52708829	5546	291150541
l_2000.t_0.99	349728886	52708829	7752	349721134
