parameters	all_bases	all_TSS	called_TSS	called_nonTSS	FDR	TPR	SP	SN	F0.5	tp/fdr	fraction_on_target
l_0100.t_02	166078	17415688	110115	55963	0.3369681716	0.0063227476	0.6630318284	0.0063227476	0.0304521571	0.0187636346	0.6630318284
l_0100.t_04	420293	17415688	402671	17622	0.0419278932	0.0231211652	0.9580721068	0.0231211652	0.1054285888	0.5514506811	0.9580721068
l_0100.t_06	191257	17415688	188136	3121	0.016318357	0.010802674	0.983681643	0.010802674	0.0517405365	0.6619952008	0.983681643
l_0100.t_08	219944	17415688	219296	648	0.0029462045	0.0125918654	0.9970537955	0.0125918654	0.0599317951	4.2739278616	0.9970537955
l_0100.t_10	177363	17415688	177130	233	0.00131369	0.010170715	0.99868631	0.010170715	0.0488630709	7.7420967078	0.99868631
l_0100.t_12	137578	17415688	137525	53	0.000385236	0.007896616	0.999614764	0.007896616	0.0382736836	20.4981251322	0.999614764
l_0100.t_14	108293	17415688	108293	0	0	0.0062181293	1	0.0062181293	0.0303361111	#DIV/0!	1
l_0100.t_16	104438	17415688	104438	0	0	0.0059967772	1	0.0059967772	0.0292815071	#DIV/0!	1
l_0200.t_02	53678	17415688	32006	21672	0.4037408249	0.0018377683	0.5962591751	0.0018377683	0.0090769353	0.0045518516	0.5962591751
l_0200.t_04	102323	17415688	94341	7982	0.078007877	0.0054170125	0.921992123	0.0054170125	0.0264631433	0.0694418658	0.921992123
l_0200.t_06	689415	17415688	678244	11171	0.0162035929	0.0389444276	0.9837964071	0.0389444276	0.1681039756	2.4034439654	0.9837964071
l_0200.t_08	1317724	17415688	1312524	5200	0.0039461981	0.0753644645	0.9960538019	0.0753644645	0.2892731669	19.0979930033	0.9960538019
l_0200.t_10	341180	17415688	341057	123	0.0003605135	0.0195833205	0.9996394865	0.0195833205	0.0908012755	54.320628386	0.9996394865
l_0200.t_12	389372	17415688	389372	0	0	0.0223575434	1	0.0223575434	0.1026111812	#DIV/0!	1
l_0200.t_14	222259	17415688	222259	0	0	0.0127619994	1	0.0127619994	0.0607108307	#DIV/0!	1
l_0200.t_16	78213	17415688	78213	0	0	0.0044909509	1	0.0044909509	0.0220585	#DIV/0!	1
l_0400.t_02	261412	17415688	59575	201837	0.7721030404	0.0034207664	0.2278969596	0.0034207664	0.0161350728	0.0044304532	0.2278969596
l_0400.t_04	143773	17415688	105234	38539	0.2680545026	0.0060424831	0.7319454974	0.0060424831	0.0292466474	0.0225419943	0.7319454974
l_0400.t_06	233540	17415688	223146	10394	0.0445062944	0.0128129305	0.9554937056	0.0128129305	0.0608032285	0.2878903011	0.9554937056
l_0400.t_08	2271322	17415688	2265027	6295	0.0027715137	0.1300567052	0.9972284863	0.1300567052	0.4273478456	46.9262360221	0.9972284863
l_0400.t_10	444446	17415688	444446	0	0	0.0255198646	1	0.0255198646	0.1157805112	#DIV/0!	1
l_0400.t_12	869364	17415688	869364	0	0	0.0499184414	1	0.0499184414	0.2080500666	#DIV/0!	1
l_0400.t_14	539293	17415688	539293	0	0	0.0309659314	1	0.0309659314	0.137765508	#DIV/0!	1
l_0400.t_16	1068806	17415688	1068806	0	0	0.0613703002	1	0.0613703002	0.2463718446	#DIV/0!	1
l_0600.t_02	279263	17415688	7338	271925	0.9737236942	0.0004213443	0.0262763058	0.0004213443	0.0019797396	0.0004327144	0.0262763058
l_0600.t_04	207798	17415688	50587	157211	0.7565568485	0.00290468	0.2434431515	0.00290468	0.0138618219	0.0038393413	0.2434431515
l_0600.t_06	143724	17415688	110006	33718	0.2346024324	0.0063164889	0.7653975676	0.0063164889	0.0305732154	0.026924226	0.7653975676
l_0600.t_08	1110750	17415688	1107723	3027	0.0027251857	0.0636048946	0.9972748143	0.0636048946	0.2533827739	23.3396553356	0.9972748143
l_0600.t_10	258432	17415688	258432	0	0	0.0148390348	1	0.0148390348	0.0700379893	#DIV/0!	1
l_0600.t_12	2988951	17415688	2988951	0	0	0.1716240553	1	0.1716240553	0.5088183808	#DIV/0!	1
l_0600.t_14	3398872	17415688	3398872	0	0	0.1951615119	1	0.1951615119	0.5480075957	#DIV/0!	1
l_0600.t_16	1594017	17415688	1594017	0	0	0.0915276502	1	0.0915276502	0.3349935583	#DIV/0!	1
l_0800.t_02	438691	17415688	1291	437400	0.9970571541	7.41285673009301E-005	0.0029428459	7.41285673009301E-005	0.0003367161	7.43473601230277E-005	0.0029428459
l_0800.t_04	1793236	17415688	115487	1677749	0.9355985492	0.0066312052	0.0644014508	0.0066312052	0.0234838197	0.0070876608	0.0644014508
l_0800.t_06	176968	17415688	56244	120724	0.6821798291	0.003229502	0.3178201709	0.003229502	0.015516819	0.004734092	0.3178201709
l_0800.t_08	778869	17415688	778869	0	0	0.0447222642	1	0.0447222642	0.1896796986	#DIV/0!	1
l_0800.t_10	4202534	17415688	4202534	0	0	0.2413073776	1	0.2413073776	0.6139419755	#DIV/0!	1
l_0800.t_12	1974776	17415688	1974776	0	0	0.1133906395	1	0.1133906395	0.3900438921	#DIV/0!	1
l_0800.t_14	5660092	17415688	5660092	0	0	0.324999621	1	0.324999621	0.7065213809	#DIV/0!	1
l_0800.t_16	1753272	17415688	1753272	0	0	0.1006719918	1	0.1006719918	0.358853837	#DIV/0!	1
l_1000.t_02	2581324	17415688	1597	2579727	0.9993813252	9.16989325945665E-005	0.0006186748	9.16989325945665E-005	0.0002878413	9.17556995297319E-005	0.0006186748
l_1000.t_04	289311	17415688	3788	285523	0.9869068235	0.000217505	0.0130931765	0.000217505	0.0010197636	0.0002203907	0.0130931765
l_1000.t_06	7636498	17415688	693081	6943417	0.9092409898	0.0397963606	0.0907590102	0.0397963606	0.07225362	0.0437687709	0.0907590102
l_1000.t_08	316856	17415688	91961	224895	0.7097703689	0.0052803541	0.2902296311	0.0052803541	0.0246107287	0.0074395246	0.2902296311
l_1000.t_10	6135995	17415688	4494672	1641323	0.2674909285	0.2580817938	0.7325090715	0.2580817938	0.5355943236	0.9648244718	0.7325090715
l_1000.t_12	4093354	17415688	3993422	99932	0.0244132318	0.2293002723	0.9755867682	0.2293002723	0.5909333968	9.3924587385	0.9755867682
l_1000.t_14	3512266	17415688	3507214	5052	0.0014383876	0.2013824547	0.9985616124	0.2013824547	0.5573242719	140.005690557	0.9985616124
l_1000.t_16	5691750	17415688	5688190	3560	0.0006254667	0.326612994	0.9993745333	0.326612994	0.7077911264	522.1908731792	0.9993745333
l_2000.t_02	390829	17415688	77	390829	1	4.42130107062093E-006	0.0001970171	4.42130107062093E-006	2.02855745222457E-005	4.42130107062093E-006	0.0001970171
l_2000.t_04	291200	17415688	841	290359	0.9971119505	4.82897948102883E-005	0.0028880495	4.82897948102883E-005	0.0002263127	4.84296620692176E-005	0.0028880495
l_2000.t_06	201050	17415688	1587	199463	0.9921064412	9.112473765033E-005	0.0078935588	9.112473765033E-005	0.0004355131	9.18497591262482E-005	0.0078935588
l_2000.t_08	4700778	17415688	66401	4634377	0.9858744659	0.0038127118	0.0141255341	0.0038127118	0.0091666483	0.0038673401	0.0141255341
l_2000.t_10	3858992	17415688	150037	3708955	0.9611201578	0.0086150487	0.0388798422	0.0086150487	0.0228355307	0.0089635501	0.0388798422
l_2000.t_12	6241016	17415688	535748	5705268	0.9141569257	0.0307623793	0.0858430743	0.0307623793	0.063208015	0.0336510925	0.0858430743
l_2000.t_14	266009	17415688	63151	202858	0.762598258	0.0036260985	0.237401742	0.0036260985	0.0170865647	0.0047549263	0.237401742
l_2000.t_16	5766792	17415688	1451918	4314874	0.7482277842	0.0833683975	0.2517722158	0.0833683975	0.1793250456	0.1114211464	0.2517722158
