parameters	all_bases	all_TSS	called_TSS	called_nonTSS	FDR	TPR	SP	SN	F0.5	tp/fdr	fraction_on_target
l_10.t_0.001	399717	52708829	370765	28952	0.0724312451	0.0070342105	0.9275687549	0.0070342105	0.0341355849	0.0971156925	0.9275687549
l_10.t_0.005	399717	52708829	370765	28952	0.0724312451	0.0070342105	0.9275687549	0.0070342105	0.0341355849	0.0971156925	0.9275687549
l_10.t_0.01	446639	52708829	412068	34571	0.0774025555	0.0078178174	0.9225974445	0.0078178174	0.0378076052	0.1010020578	0.9225974445
l_10.t_0.05	1227809	52708829	1122900	104909	0.0854440715	0.0213038313	0.9145559285	0.0213038313	0.097440015	0.2493307131	0.9145559285
l_10.t_0.1	1227809	52708829	1122900	104909	0.0854440715	0.0213038313	0.9145559285	0.0213038313	0.097440015	0.2493307131	0.9145559285
l_10.t_0.5	5398294	52708829	4432945	965349	0.1788248287	0.0841025135	0.8211751713	0.0841025135	0.2983058802	0.4703066909	0.8211751713
l_10.t_0.99	4973913	52708829	4095377	878536	0.1766287428	0.0776981215	0.8233712572	0.0776981215	0.28203335	0.4398951171	0.8233712572
l_100.t_0.001	2681506	52708829	2427308	254198	0.0947967299	0.0460512602	0.9052032701	0.0460512602	0.1913228994	0.4857895443	0.9052032701
l_100.t_0.005	3705520	52708829	3301042	404478	0.1091555301	0.0626278759	0.8908444699	0.0626278759	0.2444097117	0.5737489965	0.8908444699
l_100.t_0.01	3705520	52708829	3301042	404478	0.1091555301	0.0626278759	0.8908444699	0.0626278759	0.2444097117	0.5737489965	0.8908444699
l_100.t_0.05	5426916	52708829	4662918	763998	0.140779404	0.0884655965	0.859220596	0.0884655965	0.3132986931	0.6283987147	0.859220596
l_100.t_0.1	5426916	52708829	4662918	763998	0.140779404	0.0884655965	0.859220596	0.0884655965	0.3132986931	0.6283987147	0.859220596
l_100.t_0.5	9079465	52708829	7083054	1996411	0.2198820085	0.1343807885	0.7801179915	0.1343807885	0.3978050897	0.6111495406	0.7801179915
l_100.t_0.99	31117774	52708829	10981326	20136448	0.6471043848	0.2083394036	0.3528956152	0.2083394036	0.3098919361	0.3219564085	0.3528956152
l_200.t_0.001	5261452	52708829	4536388	725064	0.1378068259	0.0860650499	0.8621931741	0.0860650499	0.3075323928	0.6245340123	0.8621931741
l_200.t_0.005	6618704	52708829	5529211	1089493	0.1646082073	0.1049010404	0.8353917927	0.1049010404	0.349138449	0.6372770965	0.8353917927
l_200.t_0.01	6618704	52708829	5529211	1089493	0.1646082073	0.1049010404	0.8353917927	0.1049010404	0.349138449	0.6372770965	0.8353917927
l_200.t_0.05	8674924	52708829	6868794	1806130	0.2082012476	0.1303158148	0.7917987524	0.1303158148	0.3929132771	0.625912747	0.7917987524
l_200.t_0.1	8674924	52708829	6868794	1806130	0.2082012476	0.1303158148	0.7917987524	0.1303158148	0.3929132771	0.625912747	0.7917987524
l_200.t_0.5	12184940	52708829	8697180	3487760	0.2862353036	0.1650042349	0.7137646964	0.1650042349	0.4286496286	0.5764636046	0.7137646964
l_200.t_0.99	19410250	52708829	10756477	8653773	0.4458352159	0.2040735339	0.5541647841	0.2040735339	0.4126003495	0.4577330964	0.5541647841
l_400.t_0.001	9783670	52708829	6988462	2795208	0.2857013779	0.1325861745	0.7142986221	0.1325861745	0.380454867	0.4640725763	0.7142986221
