parameters	all_bases	all_TSS	called_TSS	called_nonTSS
l_10.t_0.001	399717	52708829	370765	28952
l_10.t_0.01	446639	52708829	412068	34571
l_10.t_0.1	1227809	52708829	1122900	104909
l_10.t_0.99	4973913	52708829	4095377	878536
l_100.t_0.001	2681506	52708829	2427308	254198
l_100.t_0.01	3705520	52708829	3301042	404478
l_100.t_0.1	5426916	52708829	4662918	763998
l_100.t_0.99	31117774	52708829	10981326	20136448
l_200.t_0.001	5261452	52708829	4536388	725064
l_200.t_0.01	6618704	52708829	5529211	1089493
l_200.t_0.1	8674924	52708829	6868794	1806130
l_200.t_0.99	19410250	52708829	10756477	8653773
l_400.t_0.001	9783670	52708829	6988462	2795208
l_400.t_0.01	12431186	52708829	8076754	4354432
l_400.t_0.1	15355719	52708829	8982335	6373384
l_400.t_0.99	30790034	52708829	9931330	20858704
l_600.t_0.001	13376143	52708829	7067762	6308381
l_600.t_0.01	16328473	52708829	7651637	8676836
l_600.t_0.1	20666115	52708829	8026224	12639891
l_600.t_0.99	49039202	52708829	6614154	42425048
l_800.t_0.001	17092278	52708829	6025983	11066295
l_800.t_0.01	20552296	52708829	6146619	14405677
l_800.t_0.1	26829538	52708829	6097575	20731963
l_800.t_0.99	49677252	52708829	4514282	45162970
l_1000.t_0.001	20617933	52708829	4439387	16178546
l_1000.t_0.01	24379977	52708829	4450480	19929497
l_1000.t_0.1	32820647	52708829	4148076	28672571
l_1000.t_0.99	71375967	52708829	2101586	69274381
l_2000.t_0.001	35200673	52708829	671743	34528930
l_2000.t_0.01	43015891	52708829	633172	42382719
l_2000.t_0.1	57810874	52708829	448396	57362478
l_2000.t_0.99	99784196	52708829	117082	99667114
