parameters	all_bases	all_TSS	called_TSS	called_nonTSS
l_0100.t_02	11264759	52708829	7101241	4163518
l_0100.t_04	5759546	52708829	4763779	995767
l_0100.t_06	4028538	52708829	3505510	523028
l_0100.t_08	2933493	52708829	2623259	310234
l_0100.t_10	2283782	52708829	2074774	209008
l_0100.t_12	1767016	52708829	1624760	142256
l_0100.t_14	1396976	52708829	1291191	105785
l_0100.t_16	775157	52708829	725442	49715
l_0200.t_02	16943662	52708829	10418529	6525133
l_0200.t_04	10017049	52708829	7599905	2417144
l_0200.t_06	7194095	52708829	5906807	1287288
l_0200.t_08	5497891	52708829	4707635	790256
l_0200.t_10	4310460	52708829	3798109	512351
l_0200.t_12	3461919	52708829	3104818	357101
l_0200.t_14	2845095	52708829	2574612	270483
l_0200.t_16	1610442	52708829	1485090	125352
l_0400.t_02	29345117	52708829	12561379	16783738
l_0400.t_04	17344907	52708829	10763707	6581200
l_0400.t_06	12280820	52708829	8892019	3388801
l_0400.t_08	9405748	52708829	7386398	2019350
l_0400.t_10	7504952	52708829	6186998	1317954
l_0400.t_12	6182631	52708829	5261612	921019
l_0400.t_14	5084653	52708829	4435427	649226
l_0400.t_16	3112199	52708829	2786766	325433
l_0600.t_02	39785979	52708829	11861706	27924273
l_0600.t_04	23729349	52708829	11653781	12075568
l_0600.t_06	17100591	52708829	10437469	6663122
l_0600.t_08	13132917	52708829	9139420	3993497
l_0600.t_10	10490070	52708829	7931306	2558764
l_0600.t_12	8660579	52708829	6897013	1763566
l_0600.t_14	7124692	52708829	5883102	1241590
l_0600.t_16	4635153	52708829	4008528	626625
l_0800.t_02	48613873	52708829	10218854	38395019
l_0800.t_04	28737521	52708829	11387523	17349998
l_0800.t_06	20580343	52708829	10786394	9793949
l_0800.t_08	16030778	52708829	9859175	6171603
l_0800.t_10	12835772	52708829	8805930	4029842
l_0800.t_12	10661014	52708829	7865711	2795303
l_0800.t_14	7854369	52708829	6223812	1630557
l_0800.t_16	5293596	52708829	4422167	871429
l_1000.t_02	55197827	52708829	8540507	46657320
l_1000.t_04	32450590	52708829	10570498	21880092
l_1000.t_06	23472457	52708829	10626373	12846084
l_1000.t_08	18133886	52708829	9925485	8208401
l_1000.t_10	14663734	52708829	9139278	5524456
l_1000.t_12	12188521	52708829	8304191	3884330
l_1000.t_14	8930774	52708829	6680104	2250670
l_1000.t_16	6437755	52708829	5157538	1280217
l_2000.t_02	83245940	52708829	2878501	80367439
l_2000.t_04	49681285	52708829	5322402	44358883
l_2000.t_06	35453421	52708829	6904417	28549004
l_2000.t_08	27443604	52708829	7627274	19816330
l_2000.t_10	22043630	52708829	7807692	14235938
l_2000.t_12	18287551	52708829	7685122	10602429
l_2000.t_14	14453319	52708829	7292063	7161256
l_2000.t_16	10527157	52708829	6197888	4329269
