parameters	all_bases	all_TSS	called_TSS	called_nonTSS
l_0010.t_0.001	993553	52708829	917077	76476
l_0010.t_0.01	1047465	52708829	961254	86211
l_0010.t_0.1	2613361	52708829	2347738	265623
l_0010.t_0.99	9737434	52708829	7148740	2588694
l_0100.t_0.001	5437786	52708829	4728567	709219
l_0100.t_0.01	7207845	52708829	6048458	1159387
l_0100.t_0.1	10193816	52708829	7932481	2261335
l_0100.t_0.99	16202686	52708829	10478388	5724298
l_0200.t_0.001	10062893	52708829	7817327	2245566
l_0200.t_0.01	12412296	52708829	8995804	3416492
l_0200.t_0.1	15895016	52708829	10347096	5547920
l_0200.t_0.99	35959590	52708829	12595929	23363661
l_0400.t_0.001	16316588	52708829	9413720	6902868
l_0400.t_0.01	18942870	52708829	9940301	9002569
l_0400.t_0.1	25317050	52708829	10546455	14770595
l_0400.t_0.99	50928364	52708829	9401965	41526399
l_0600.t_0.001	20675715	52708829	8242596	12433119
l_0600.t_0.01	25152897	52708829	8397740	16755157
l_0600.t_0.1	32447427	52708829	8107251	24340176
l_0600.t_0.99	60677616	52708829	5882643	54794973
l_0800.t_0.001	26649830	52708829	6230049	20419781
l_0800.t_0.01	32191335	52708829	5960595	26230740
l_0800.t_0.1	40345514	52708829	5314461	35031053
l_0800.t_0.99	74906705	52708829	3131096	71775609
l_1000.t_0.001	31313713	52708829	4282411	27031302
l_1000.t_0.01	37184994	52708829	3837325	33347669
l_1000.t_0.1	47664430	52708829	3166396	44498034
l_1000.t_0.99	97353161	52708829	1326352	96026809
l_2000.t_0.001	51866550	52708829	446095	51420455
l_2000.t_0.01	63320523	52708829	340758	62979765
l_2000.t_0.1	77940932	52708829	224165	77716767
l_2000.t_0.99	132273730	52708829	98605	132175125
