Parameters	Overlap	Rep1	Rep2	Rep3	percent overlap	bases	on_target_bases	off_target_bases	on_target_mapped	off_target_mapped	not_mapped	Sensitivity	Specificity	F-Score_0.5	On/(on+off)	on/all
length_100.thresh_0.01	22596139	1314548016	375081322	329513342	3.3572871136	22596139	86375464	2598721521	4246411	101508	18349728	0.0491622366	0.1879263975	0.1201179712	0.9766536589	0.1879263975
length_100.thresh_1	10426784	256959490	260434280	230693016	4.1813800999	10426784	86375464	2598721521	2094666	25147	8332118	0.0242507062	0.200892816	0.0817701233	0.9881371612	0.200892816
length_100.thresh_2	7142971	193276526	190721486	178828555	3.8073741107	7142971	86375464	2598721521	1339474	10770	5803497	0.0155075752	0.1875233709	0.0582646761	0.9920236639	0.1875233709
length_100.thresh_4	3380596	28502711	29942953	50925970	9.2727772541	3380596	86375464	2598721521	635249	1938	2745347	0.0073545075	0.1879103566	0.0317949292	0.9969585067	0.1879103566
length_100.thresh_6	2382721	16518725	14824444	14142120	15.7153294112	2382721	86375464	2598721521	370707	631	2012014	0.0042918091	0.155581371	0.0193265101	0.9983007395	0.155581371
length_100.thresh_8	1699862	7288494	5719917	6769017	25.7848796112	1699862	86375464	2598721521	205347	249	1494515	0.0023773765	0.1208021592	0.0110194362	0.9987888869	0.1208021592
length_100.thresh_10	1349770	4467695	4039682	4201316	31.8625211892	1349770	86375464	2598721521	139510	122	1210260	0.0016151577	0.1033583499	0.0076006915	0.9991262748	0.1033583499
length_100.thresh_12	1030441	2987515	2772041	3133058	34.7628155231	1030441	86375464	2598721521	86937	47	943504	0.0010065011	0.0843687314	0.0048032963	0.9994596707	0.0843687314
length_100.thresh_14	785939	2224752	1995459	2239829	36.4984891734	785939	86375464	2598721521	56997	40	728942	0.0006598749	0.0725208954	0.0031835063	0.9992987008	0.0725208954
length_100.thresh_16	643957	1834680	1566807	1816959	37.0200438981	643957	86375464	2598721521	42016	0	601941	0.0004864344	0.0652465926	0.002361742	1	0.0652465926
																
length_200.thresh_0.01	58948015	1234495913	611024539	547471312	7.3900816401	58948015	86375464	2598721521	14167529	605055	44780486	0.1640226095	0.2403393736	0.2198782923	0.9590420335	0.2403393736
length_200.thresh_1	24374620	474338186	411022934	373344246	5.8094500886	24374620	86375464	2598721521	8721047	153235	15653573	0.1009667167	0.3577921215	0.2371474394	0.9827326876	0.3577921215
length_200.thresh_2	12465323	256411457	245473859	243470830	5.0171946929	12465323	86375464	2598721521	5701164	54789	6764159	0.0660044385	0.4573619151	0.2092373662	0.990481333	0.4573619151
length_200.thresh_4	6253912	46540016	40110628	40322572	14.7761367248	6253912	86375464	2598721521	2976704	9433	3277208	0.0344623793	0.4759747179	0.1336149692	0.9968410692	0.4759747179
length_200.thresh_6	4424899	14596943	14304255	13760161	31.1164419305	4424899	86375464	2598721521	1850782	2444	2574117	0.0214271729	0.4182653661	0.0889157306	0.9986812186	0.4182653661
length_200.thresh_8	3381056	8827452	8295058	8537008	39.5298461959	3381056	86375464	2598721521	1231845	1285	2149211	0.0142615153	0.364337355	0.0616540965	0.9989579363	0.364337355
length_200.thresh_10	2638949	6068489	5533268	5791074	45.5178745772	2638949	86375464	2598721521	836652	584	1802297	0.0096862229	0.3170398519	0.0431569754	0.9993024667	0.3170398519
length_200.thresh_12	2104130	4495250	4124226	4304980	48.8406630035	2104130	86375464	2598721521	582134	212	1521996	0.006739576	0.2766625636	0.0307058664	0.9996359553	0.2766625636
length_200.thresh_14	1734344	3581529	3261406	3457659	50.5119607665	1734344	86375464	2598721521	426838	71	1307506	0.004941658	0.2461091917	0.0228713433	0.9998336882	0.2461091917
length_200.thresh_16	1446116	2922173	2592938	2889614	51.6179648947	1446116	86375464	2598721521	318671	60	1127445	0.0036893695	0.2203633733	0.0172890218	0.9998117535	0.2203633733
																
length_400.thresh_0.01	122349181	1265646198	887139798	815633730	12.3650823293	122349181	86375464	2598721521	28210864	2436380	94138317	0.3266073801	0.2305766477	0.2449828646	0.9205024765	0.2305766477
length_400.thresh_1	45029629	726020697	520887775	517211434	7.6575796543	45029629	86375464	2598721521	19899289	689083	25130340	0.2303812689	0.4419154553	0.3733534431	0.9665304765	0.4419154553
length_400.thresh_2	19392648	188848061	179312770	165548680	10.9006758922	19392648	86375464	2598721521	13875464	228784	5517184	0.1606412673	0.7155012559	0.4231716315	0.9837790714	0.7155012559
length_400.thresh_4	11235527	48746073	43510288	41394739	25.2198305887	11235527	86375464	2598721521	8586829	48903	2648698	0.0994128263	0.7642568969	0.3269489707	0.9943371332	0.7642568969
length_400.thresh_6	7907395	19646641	18052628	18576875	42.1531812841	7907395	86375464	2598721521	5826857	12216	2080538	0.0674596318	0.7368870532	0.2468901668	0.9979078871	0.7368870532
length_400.thresh_8	6041150	11989720	11640103	11461388	51.6466929568	6041150	86375464	2598721521	4223270	4232	1817880	0.0488943249	0.6990837837	0.1910289287	0.998998936	0.6990837837
length_400.thresh_10	4706879	8765036	8030990	8349321	56.1560633862	4706879	86375464	2598721521	3064717	1389	1642162	0.0354813376	0.6511144646	0.1456573283	0.9995469824	0.6511144646
length_400.thresh_12	3822284	6712950	6296610	6443858	58.9451786827	3822284	86375464	2598721521	2335058	685	1487226	0.0270338114	0.6109064633	0.1148412525	0.9997067314	0.6109064633
length_400.thresh_14	3189107	5521430	4945300	5449083	60.1120470566	3189107	86375464	2598721521	1841513	454	1347594	0.0213198623	0.5774384491	0.0928819658	0.9997535244	0.5774384491
length_400.thresh_16	2702568	4685128	4137581	4435514	61.1522675399	2702568	86375464	2598721521	1470641	334	1231927	0.017026143	0.5441642911	0.0756613604	0.9997729397	0.5441642911
																
length_600.thresh_0.01	163394818	1332875554	1062355682	992138521	14.4709461666	163394818	86375464	2598721521	34742461	5146284	128652357	0.4022260419	0.2126289036	0.2347607179	0.8709840583	0.2126289036
length_600.thresh_1	57377734	918259623	441316760	506851310	9.2226022281	57377734	86375464	2598721521	26497317	1418779	30880417	0.3067690264	0.4618048702	0.4194121209	0.9491770268	0.4618048702
length_600.thresh_2	27851878	242127616	220651450	212056230	12.3816336364	27851878	86375464	2598721521	19784753	477695	8067125	0.2290552442	0.7103561562	0.500163194	0.9764246156	0.7103561562
length_600.thresh_4	15841550	59274081	50128410	53116298	29.2425573021	15841550	86375464	2598721521	12918169	119035	2923381	0.1495583167	0.8154611765	0.431348519	0.9908695914	0.8154611765
