Parameters	Overlap	Rep1	Rep2	Rep3	percent overlap		bases	on_target_bases	off_target_bases	on_target_mapped	off_target_mapped	not_mapped	Sensitivity	Specificity	F-Score_0.5	On/(on+off)	on/all
length_100.thresh_0.001	2620101	4766274	5034164	4656381	54.3709027553	fresh.macs2.l_0100.t_0.001.bed	2620101	86375464	2598721521	1394253	312	1225848	0.0161417715	0.5321371199	0.0719756598	0.9997762743	0.5321371199
length_100.thresh_0.005	3606234	6981955	7418059	6728625	51.2039701185	fresh.macs2.l_0100.t_0.005.bed	3606234	86375464	2598721521	2155516	499	1450718	0.0249551887	0.5977193937	0.1069200122	0.9997685545	0.5977193937
length_100.thresh_0.01	3606234	6981955	7418059	6728625	51.2039701185	fresh.macs2.l_0100.t_0.01.bed	3606234	86375464	2598721521	2155516	499	1450718	0.0249551887	0.5977193937	0.1069200122	0.9997685545	0.5977193937
length_100.thresh_0.02	3606234	6981955	7418059	6728625	51.2039701185	fresh.macs2.l_0100.t_0.02.bed	3606234	86375464	2598721521	2155516	499	1450718	0.0249551887	0.5977193937	0.1069200122	0.9997685545	0.5977193937
length_100.thresh_0.03	3866623	6981955	7418059	11262832	45.2010233004	fresh.macs2.l_0100.t_0.03.bed	3866623	86375464	2598721521	2423341	598	1443282	0.0280558956	0.6267331985	0.1189755723	0.9997532941	0.6267331985
length_100.thresh_0.05	5267253	11980663	13077906	11262832	43.505367538	fresh.macs2.l_0100.t_0.05.bed	5267253	86375464	2598721521	3496508	3943	1770745	0.0404803383	0.6638200216	0.1627123204	0.9988735737	0.6638200216
length_100.thresh_0.07	5267253	11980663	13077906	11262832	43.505367538	fresh.macs2.l_0100.t_0.07.bed	5267253	86375464	2598721521	3496508	3943	1770745	0.0404803383	0.6638200216	0.1627123204	0.9988735737	0.6638200216
length_100.thresh_0.09	5267253	11980663	13077906	11262832	43.505367538	fresh.macs2.l_0100.t_0.09.bed	5267253	86375464	2598721521	3496508	3943	1770745	0.0404803383	0.6638200216	0.1627123204	0.9988735737	0.6638200216
length_100.thresh_0.1	5267253	11980663	13077906	11262832	43.505367538	fresh.macs2.l_0100.t_0.1.bed	5267253	86375464	2598721521	3496508	3943	1770745	0.0404803383	0.6638200216	0.1627123204	0.9988735737	0.6638200216
length_100.thresh_0.5	8683856	42194943	49238610	37442021	20.2145117119	fresh.macs2.l_0100.t_0.5.bed	8683856	86375464	2598721521	6296111	26173	2387745	0.0728923552	0.7250363203	0.2599316669	0.9958601986	0.7250363203
																	
length_200.thresh_0.001	5210090	8387916	8919728	8085289	61.5536220255	fresh.macs2.l_0200.t_0.001.bed	5210090	86375464	2598721521	3956063	1789	1395152	0.0595570867	0.7866551835	0.2285669034	0.9990590618	0.7866551835
length_200.thresh_0.005	6539423	11147576	11876444	10587585	58.3675459711	fresh.macs2.l_0200.t_0.005.bed	6539423	86375464	2598721521	5144271	4845	1395152	0.0595570867	0.7866551835	0.2285669034	0.9990590618	0.7866551835
length_200.thresh_0.01	6539423	11147576	11876444	10587585	58.3675459711	fresh.macs2.l_0200.t_0.01.bed	6539423	86375464	2598721521	5144271	4845	1424804	0.0646445037	0.7967035186	0.2440225755	0.9989085477	0.7967035186
length_200.thresh_0.02	7008503	11147576	11876444	15072016	55.1908051536	fresh.macs2.l_0200.t_0.02.bed	7008503	86375464	2598721521	5583699	6101	1636444	0.0797584138	0.808055584	0.2859100655	0.9973716308	0.808055584
length_200.thresh_0.03	8525614	16108004	17573406	15072016	52.4616300811	fresh.macs2.l_0200.t_0.03.bed	8525614	86375464	2598721521	6889170	18155	1636444	0.0797584138	0.808055584	0.2859100655	0.9973716308	0.808055584
length_200.thresh_0.05	8525614	16108004	17573406	15072016	52.4616300811	fresh.macs2.l_0200.t_0.05.bed	8525614	86375464	2598721521	6889170	18155	1636444	0.0797584138	0.808055584	0.2859100655	0.9973716308	0.808055584
length_200.thresh_0.07	8525614	16108004	17573406	15072016	52.4616300811	fresh.macs2.l_0200.t_0.07.bed	8525614	86375464	2598721521	6889170	18155	1636444	0.0797584138	0.808055584	0.2859100655	0.9973716308	0.808055584
length_200.thresh_0.09	8525614	16108004	17573406	15072016	52.4616300811	fresh.macs2.l_0200.t_0.09.bed	8525614	86375464	2598721521	6889170	18155	1636444	0.0797584138	0.808055584	0.2859100655	0.9973716308	0.808055584
