fresh_1 	fresh_2 	fresh_3 	frozen_1	frozen_2	frozen_3	fixed_day3_1	fixed_day3_2	fixed_day3_3	fixed_day7_1	fixed_day7_2	fixed_day7_3
average_fragm_width	463.095	464.45	447.284	518.83	488.137	474.844	375.04	360.761	348.148	340.438	354.55	350.522
min_fragm_length        39      39      39      47      47      48      48      47      48      49      49      47
median_fragm_length     210     210     208     161     169     173     265     263     283     354     360     300
max_fragm_length        546     53      516     750     719     591     1806    1766    1740    2114    2048    2015
number_mapped_reads_after_filt  4911264 4163014 4677742 31395322        25828806        21773526        39405644        31547796        30311610        46300776        50676706        33746712
total_called_peaks	22380	19815	20308	64283	76269	60201	69070	69831	53060	107571	164705	75596
average_peaks_per_chrom	973.043	861.522	882.957	2794.91	3316.04	2617.43	3003.04	3036.13	2306.96	4677	7161.09	3286.78
peaks_norm_mapped_reads	198.125	206.947	188.757	89.0232	128.385	120.212	76.2085	96.2391	76.108	101.013	141.309	97.3956
peaks_norm_mapped_reads_per_chrom	9730.67	10044.3	9136.37	4358.06	6187.9	5978.1	2872.54	3866.78	3073.09	3352.27	4506.32	4182.19
reads_in_peaks_norm_mapped_reads	2741.8	2881.09	2481.63	3381.68	3908.3	3603.32	1854.9	1904.51	1435.12	2229.58	3209.48	1789.26
signal_to_noise	3.23299	3.31349	3.13212	3.37623	3.50766	3.82653	1.52917	1.51246	1.40109	1.26269	1.27267	1.5043
average_peak_width	219.019	218.612	210.358	251.339	235.669	229.244	177.972	170.509	164.119	161.106	167.693	165.577
overlap_between_replicates	60.85	59.57	60.41	70.74	70.98	69.53	35.23	31.79	31.38	20.03	14.58	10.74
overlap_with_DNase	86.69	89.76	87.71	84.51	84.04	81.1	43.39	48.06	45.7	15.38	9.15	41.89
