# Overlap with the annotation, number of bases

	F	Fr	Fxa1	Fx1	Fx3	Fx7
on target	16544435	22561077	22854236	22502062	5540250	714870
off target	271617	833877	3574964	2972378	12552807	19364853
												
	F	Fr	Fxa1	Fx1	Fx3	Fx7
TSS	12313643	14958469	16695369	16825981	3847168	294706
E	3060980	5019741	3310975	3065039	1070766	139125
CTCF	416047	1083002	1201112	1051224	316745	231160
WE	157732	456768	150325	130712	105831	22395
PR	5065	9929	6741	7661	2543	1451
R	123509	448272	873798	645635	9907632	17596213
T	137422	356152	2552027	2193324	2149693	1053343
						
						
						
# Overlap with the annotation, number of bases out of all bases called as peaks						
						
	F	Fr	Fxa1	Fx1	Fx3	Fx7
on target	81.0948765502	72.8843469147	60.4049298097	64.241933851	22.8163560192	2.9452085412
off target	1.3313689518	2.6938687613	9.4488150683	8.485947237	51.6960991928	79.7816812206
						
						
	F	Fr	Fxa1	Fx1	Fx3	Fx7
TSS	60.3570541374	48.3238563438	44.1267252422	48.0370891512	15.8437533963	1.2141656921
E	15.0038242601	16.2164485528	8.7510784643	8.7504884081	4.4097248805	0.573184129
CTCF	2.0393129233	3.4986757714	3.1746012448	3.0011766331	1.3044477573	0.9523611375
WE	0.7731455966	1.475604971	0.3973167632	0.3731743188	0.4358427461	0.0922656501
PR	0.0248268103	0.0320759811	0.0178168122	0.0218716603	0.0104728114	0.0059780066
R	0.6053967457	1.4481583463	2.3094933849	1.8432462306	40.8025015152	72.4950226194
T	0.6735932732	1.1505614702	6.7451395797	6.2617983775	8.8530591255	4.3396908534

